x,y,Porosity,Surface,Permeability,Energy,Euler_Characteristic
0,0,0.0063234374999999,16.425,3.9016020511979e-08,2.5185344798385e-11,26.0
0,80,0.0065593749999999,17.3625,5.1792201239101e-05,4.702722763932e-05,31.0
0,160,0.006960937499999999,16.875,0.0001433282230303,0.0001338169240593,44.0
0,240,0.0060109374999999,16.1875,4.7494770408126e-05,4.3950821605914e-05,18.0
0,320,0.0065624999999997005,17.375,9.6655102639946e-05,8.965009664726e-05,31.0
0,400,0.006240625,16.85,5.250280211630301e-05,4.8279639111854e-05,24.0
0,480,0.006954687499999302,15.137499999999,0.000198667961724,0.0001899152906265,35.0
0,560,0.0066703124999996,16.537499999999,9.8009685768725e-05,9.3806902649219e-05,31.0
0,640,0.0061187500000001,16.287499999999,9.0671324371184e-05,8.5576747941142e-05,21.0
0,720,0.0063531249999999005,17.825,9.3970975559809e-05,8.8226256452562e-05,24.0
80,0,0.0065234374999999,16.2125,4.8975991025086e-05,4.3070926917123e-05,28.0
80,80,0.0062312499999999,16.5375,3.171811464683e-08,3.5203815764211e-11,23.0
80,160,0.0065453124999999,16.7125,9.7804897622177e-05,9.0057550910312e-05,33.0
80,240,0.0068359375,15.75,0.0001354165635469,0.0001292212444902,27.0
80,320,0.006790624999999499,15.524999999999,0.0001657831413027,0.0001566746976365,33.0
80,400,0.00625,17.7875,3.1081521241804e-05,2.7267120525723003e-05,27.0
80,480,0.0070921874999992,15.587499999999,0.0002180675670649,0.0002069745928245,34.0
80,560,0.0061875,16.9,9.0196519742536e-05,8.195008391710899e-05,23.0
80,640,0.0069874999999993016,14.474999999999,0.0002202239490149,0.0002115743365388,24.0
80,720,0.0065015624999998,15.874999999999002,4.9541342350726e-05,4.126295942631e-05,29.0
160,0,0.0070453125,15.2625,0.0001847583866468,0.0001778195635765,31.0
160,80,0.0069359375,15.2,0.000118050070461,0.0001114933663641,35.0
160,160,0.0065953125000000005,15.725,0.0001940019846338,0.000182245746526,32.0
160,240,0.0064171874999999,15.425,0.0001299580475812,0.0001231168976371,27.0
160,320,0.0063671874999999,16.299999999999002,1.5246133068045e-05,1.1618790896818e-05,21.0
160,400,0.0068171874999995,15.099999999999,0.0002540558948797,0.000244496827839,38.0
160,480,0.0059843750000002005,16.8125,5.9836586489194e-05,5.5878145771888e-05,23.0
160,560,0.006406249999999799,17.7,9.3926423827909e-05,8.7878667744976e-05,32.0
160,640,0.006051562500000201,18.2,2.6982234151338e-05,2.4638801631698e-05,24.0
160,720,0.0060421875000002,16.324999999999,4.5316941960276e-05,4.1860787430688e-05,15.0
240,0,0.0062546874999999,16.5125,6.3159378224562e-05,5.7879245263073e-05,25.0
240,80,0.0064265624999999,16.6875,0.000123590220143,0.0001174841915764,27.0
240,160,0.0064812499999999,15.875,0.0001344975067579,0.0001288024045113,29.0
240,240,0.0063390624999999,17.325,2.7566239723612e-05,2.4922414297807e-05,28.0
240,320,0.0064859374999998,17.05,2.80778151268e-06,7.4518547099992e-07,26.0
240,400,0.006984374999999301,15.087499999999,0.0001921998526593,0.0001849290507021,35.0
240,480,0.006604687499999699,16.349999999999,0.0001128464832018,0.0001068587384081,36.0
240,560,0.0065624999999997005,13.624999999999002,0.0001837328502422,0.0001751559133485,26.0
240,640,0.007018749999999301,16.725,0.0001926148896984,0.0001836178219659,39.0
