Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
100,400,0.95,15,1.0,17.850468244830807,0
100,400,0.95,15,0.92,18.635866408228253,1
100,400,0.95,15,0.84,21.5474212656904,4
100,400,0.95,15,0.8,24.22893832702488,4
100,400,0.95,15,0.88,20.762023102292943,3
100,400,0.95,15,0.88,18.08050604095846,2
100,400,0.95,15,0.84,24.228938327024885,4
100,400,0.95,15,0.84,21.5474212656904,4
100,400,0.95,15,0.96,20.531985306165296,1
100,400,0.95,15,0.96,18.635866408228253,1
100,400,0.95,15,0.92,19.421264571625706,2
100,400,0.95,15,0.8,20.20666273502315,3
100,400,0.95,15,0.88,21.317383469562746,2
100,400,0.95,15,0.88,19.976624938895498,2
100,400,0.95,15,0.88,18.865904204355907,3
100,400,0.95,15,1.0,17.850468244830807,0
100,400,0.95,15,0.92,21.317383469562746,2
100,400,0.95,15,0.8,23.99890053089723,3
100,400,0.95,15,0.88,23.213502367499785,2
100,400,0.95,15,0.92,18.08050604095846,2
100,400,0.95,15,0.84,19.421264571625706,2
100,400,0.95,15,0.96,18.635866408228253,1
100,400,0.95,15,0.88,22.102781632960188,3
100,400,0.95,15,0.96,18.635866408228253,1
100,400,0.95,15,0.84,21.5474212656904,3
100,400,0.95,15,0.96,18.635866408228253,1
100,400,0.95,15,0.92,20.531985306165296,1
100,400,0.95,15,0.96,18.635866408228253,1
100,400,0.95,15,0.92,21.317383469562746,2
100,400,0.95,15,0.92,21.317383469562746,2
100,400,0.95,15,0.88,18.865904204355907,2
100,400,0.95,15,0.84,20.9920608984206,4
100,400,0.95,15,0.84,25.89501942883427,3
100,400,0.95,15,0.92,19.421264571625706,2
100,400,0.95,15,0.92,18.08050604095846,2
100,400,0.95,15,0.88,21.317383469562746,2
100,400,0.95,15,1.0,17.850468244830807,0
100,400,0.95,15,0.84,23.99890053089723,3
100,400,0.95,15,0.96,17.29510787756101,1
100,400,0.95,15,0.92,19.421264571625706,2
100,400,0.95,15,0.84,20.9920608984206,4
100,400,0.95,15,0.92,22.658142000229983,2
100,400,0.95,15,0.84,24.78429869429468,4
100,400,0.95,15,0.92,20.531985306165296,1
100,400,0.95,15,0.84,18.310543837086108,4
100,400,0.95,15,0.88,19.421264571625706,2
100,400,0.95,15,0.84,21.5474212656904,3
100,400,0.95,15,0.88,21.317383469562746,2
100,400,0.95,15,0.8,18.865904204355907,3
100,400,0.95,15,0.88,21.317383469562746,2
100,400,0.95,15,0.92,19.421264571625706,2
100,400,0.95,15,0.84,18.865904204355907,3
100,400,0.95,15,0.76,24.228938327024885,4
100,400,0.95,15,0.96,18.635866408228253,1
100,400,0.95,15,0.84,24.78429869429468,3
100,400,0.95,15,0.88,20.762023102292943,3
100,400,0.95,15,0.88,18.865904204355907,3
100,400,0.95,15,0.88,22.10278163296019,3
100,400,0.95,15,0.92,21.317383469562746,2
