Seed,Blobiness,M0,M1,M2
6,3,0.2975,19073.13732604253,-195
6,3,0.39868,21834.397569609853,-84
6,3,0.500392,23036.451572947768,35
6,3,0.601956,22615.10738117673,151
6,3,0.703376,20724.075672415413,250
6,3,0.803872,17065.14829386208,285
6,3,0.902132,11677.99429307506,269
6,3,0.999996,1996.8284271247464,1
6,4,0.098264,11488.866263332451,-425
6,4,0.200408,19499.40940398117,-446
6,4,0.300208,24794.93598777023,-336
6,4,0.398268,28236.141540916607,-175
6,4,0.499128,30011.150955101348,46
6,4,0.5999,29971.271842169022,248
6,4,0.701348,27650.86650438514,413
6,4,0.803148,23005.367445275308,516
6,4,0.90252,15020.597861861635,464
6,4,0.999996,1996.8284271247464,1
6,5,0.099156,13733.371060159196,-679
6,5,0.200264,23656.43014492296,-699
6,5,0.30072,30319.406655649065,-501
6,5,0.399784,34682.125014848905,-279
6,5,0.499892,37130.83814394612,54
6,5,0.59958,37107.52252287482,386
6,5,0.69956,34626.05831058789,616
6,5,0.801728,28923.692152385807,801
6,5,0.901428,19106.110160300817,741
6,5,0.999996,2001.6568542494924,1
6,6,0.099792,15848.073729051135,-988
6,6,0.20042,27433.12184599536,-989
6,6,0.300812,35708.61534685703,-754
6,6,0.400896,41130.8496501719,-387
6,6,0.500332,43755.99528279471,72
6,6,0.59972,44086.7721575601,520
6,6,0.699156,41355.25725946559,886
6,6,0.80062,34944.02504819177,1169
6,6,0.900256,23000.582920220702,1043
6,6,0.999996,2001.6568542494924,1
6,7,0.100392,17495.100207709827,-1321
6,7,0.200968,30689.863186854807,-1374
6,7,0.301324,40376.452321614735,-1005
6,7,0.401016,46968.25029625939,-491
6,7,0.500444,50422.04181531216,146
6,7,0.600188,50851.12229730877,705
6,7,0.699904,47931.05714668256,1210
6,7,0.799672,40339.1720857726,1547
6,7,0.899216,27146.671949850268,1444
6,7,0.999996,2001.6568542494924,1
6,8,0.100792,18732.934731488986,-1712
6,8,0.201304,33374.3770389288,-1793
6,8,0.301356,44597.32169221679,-1304
6,8,0.40108,52231.52691721765,-615
6,8,0.500592,56460.53181917475,183
6,8,0.600076,57506.31096544994,977
6,8,0.699392,54130.023556140906,1616
6,8,0.798556,46040.57604939042,2020
6,8,0.899308,31016.588360584057,1859
6,8,0.999996,2001.6568542494924,1
6,9,0.101096,19732.6037790473,-2136
6,9,0.202076,35850.19031415189,-2210
6,9,0.30184,48076.08532765284,-1612
6,9,0.401504,56879.34350997107,-762
6,9,0.50078,62189.272472951176,257
6,9,0.600332,63542.695413615256,1295
6,9,0.698088,60161.58376126358,2052
6,9,0.797836,51484.67640577704,2548
6,9,0.898644,35046.70682746515,2367
6,9,0.999996,2001.6568542494924,1
6,10,0.101488,20448.36618899406,-2598
6,10,0.203304,37859.91423159989,-2673
6,10,0.302368,51108.87630829935,-1989
6,10,0.402128,61196.89202939921,-882
6,10,0.501572,67232.5825357743,345
6,10,0.599472,69125.76406124054,1600
6,10,0.697744,65916.7266147623,2559
6,10,0.797004,56927.976726269895,3179
6,10,0.898316,38751.109565593695,2874
6,10,0.999996,2001.6568542494924,1
7,1,0.089812,3201.5689014324225,-21
7,1,0.189768,5318.329578275632,-21
7,1,0.292928,6906.80894246421,-17
7,1,0.403984,8066.174562260053,1
7,1,0.515448,8490.441589564813,16
7,1,0.619544,8049.628314341716,25
7,1,0.715016,7447.370342284198,31
7,1,0.805024,6430.631093465797,32
7,1,0.894536,4984.387227289401,31
7,1,0.999996,1996.8284271247464,1
7,2,0.097992,6398.19667736789,-99
7,2,0.193204,10547.729178342604,-109
7,2,0.293088,13529.801651112495,-68
7,2,0.396492,15232.655690344156,-25
7,2,0.500884,15901.800964029466,25
7,2,0.605288,15539.012075424009,81
7,2,0.70424,14015.916441525756,123
7,2,0.8014,11727.626760706911,135
7,2,0.899984,8135.15418025577,114
7,2,0.999996,1996.8284271247464,1
7,3,0.100612,9241.19599028486,-226
7,3,0.197012,14808.959118106624,-236
7,3,0.294616,18975.788083637617,-179
7,3,0.393944,21849.8717036958,-83
7,3,0.495776,23115.17444437524,41
7,3,0.599308,22950.5653173405,158
7,3,0.701204,21075.971162738664,239
7,3,0.80154,17521.29356754739,286
7,3,0.900024,11877.900930686606,261
7,3,0.999996,1996.8284271247464,1
7,4,0.099948,11598.453095790604,-418
7,4,0.19804,19290.0063377071,-435
7,4,0.296216,24720.68115377429,-346
7,4,0.395608,28428.26643259764,-167
7,4,0.497216,30494.09417263936,45
7,4,0.598208,30207.797708083075,246
7,4,0.69952,27751.480682053763,406
7,4,0.799912,23135.136997897007,491
7,4,0.900068,15646.541079399643,462
7,4,0.999996,2001.6568542494924,1
7,5,0.100148,13802.406594065127,-661
7,5,0.198664,23384.68898353225,-706
7,5,0.297964,30383.128481056014,-548
7,5,0.398452,35048.74233057911,-259
7,5,0.497844,37399.24121022019,73
7,5,0.597108,37337.168229836025,362
7,5,0.697368,34830.936556968445,639
7,5,0.799396,29119.451603739737,795
7,5,0.900704,19519.698038779497,737
7,5,0.999996,2001.6568542494924,1
7,6,0.100336,15733.69609541522,-961
7,6,0.199816,27122.724876375687,-992
7,6,0.299072,35572.14626340496,-802
7,6,0.39936,41254.66693000836,-355
7,6,0.497324,43959.216674925774,93
7,6,0.596712,44157.58943739655,502
7,6,0.696612,41626.34870928174,900
7,6,0.798276,35181.619023324856,1164
7,6,0.900324,23281.624550781045,1042
7,6,0.999996,2001.6568542494924,1
7,7,0.100648,17441.12459432747,-1294
7,7,0.200272,30379.15965141109,-1362
7,7,0.299708,40179.45336763526,-1051
7,7,0.3997,46730.47865159665,-445
7,7,0.498048,50423.59311386437,105
7,7,0.59676,50902.53146023725,716
7,7,0.69652,48119.54452009785,1222
7,7,0.798316,40827.48893233316,1554
7,7,0.899832,27367.127793972984,1453
7,7,0.999996,2001.6568542494924,1
7,8,0.100792,18650.681989534096,-1691
7,8,0.20124,33258.37303431544,-1762
7,8,0.300212,44288.58767350103,-1305
7,8,0.39944,51949.65076287815,-603
7,8,0.498552,56289.50028988217,150
7,8,0.596732,57239.36269727805,940
7,8,0.69642,54432.17283443956,1607
7,8,0.797476,46426.14563790587,2037
7,8,0.899292,31278.18128969662,1875
7,8,0.999996,2001.6568542494924,1
7,9,0.10128,19722.87794902699,-2115
7,9,0.201588,35570.25842337093,-2201
7,9,0.301,47839.11476490436,-1641
7,9,0.399804,56660.85822859684,-761
7,9,0.498664,61944.72727105337,269
7,9,0.59742,63337.70151026968,1201
7,9,0.69656,60342.90861705085,2005
7,9,0.796584,51924.20941436603,2571
7,9,0.899224,35157.191062818856,2345
7,9,0.999996,2001.6568542494924,1
7,10,0.101392,20369.065719824423,-2582
7,10,0.202372,37492.74875537904,-2684
7,10,0.301724,50909.54535585766,-2010
7,10,0.400572,60721.64329205768,-951
7,10,0.498548,67042.83736977025,352
7,10,0.597192,68840.05738773524,1511
7,10,0.696272,66021.92048221415,2502
7,10,0.796368,57174.11171921869,3148
7,10,0.898684,39006.28113846895,2892
7,10,0.999996,2001.6568542494924,1
8,1,0.101132,3807.7486630031394,-29
8,1,0.2027,5785.330624296158,-23
8,1,0.297012,6902.2637405664,-12
8,1,0.396432,8006.983653401044,2
8,1,0.4991,8298.695377540223,15
