Resolution,Subsamples,Blobiness,M0,M1,M2
500,100,2,0.6472,302.34419177103416,5
500,100,2,0.4868,303.16652224137044,0
500,100,2,0.3972,274.12489168102786,0
500,100,2,0.6164,285.095454429505,4
500,100,2,0.6976,312.75230867899734,8
500,100,2,0.2496,253.6162697096763,1
500,100,2,0.6048,302.8944443027283,6
500,100,2,0.7192,330.3025612106916,5
500,100,2,0.608,299.8528137423857,3
500,100,2,0.7068,304.81727983645294,3
500,100,2,0.7352,326.8944443027283,7
500,100,2,0.632,343.44469683442253,4
500,100,2,0.3964,279.4091629284897,1
500,100,2,0.2768,223.9177848998413,0
500,100,2,0.6324,346.86500705120545,5
500,100,2,0.5832,265.5096679918781,3
500,100,2,0.5576,306.6162697096763,3
500,100,2,0.3932,308.33809511662423,1
500,100,2,0.3856,338.51576464628795,3
500,100,2,0.6356,311.02438661763955,3
500,100,2,0.6272,332.7878425849301,3
500,100,2,0.5796,348.9005409571382,4
500,100,2,0.5092,350.55129855222066,5
500,100,2,0.676,312.5512985522207,7
500,100,2,0.5984,318.58073580374355,4
500,100,2,0.58,355.1015510839149,1
500,100,2,0.7048,249.78174593052023,5
500,100,2,0.5328,291.9594154601839,3
500,100,2,0.4536,283.1309883354377,0
500,100,2,0.6408,346.2081528017131,4
500,100,2,0.5148,290.23149339882605,1
500,100,2,0.442,301.57463914933373,0
500,100,2,0.5112,315.34419177103416,2
500,100,2,0.5928,302.2375900532359,5
500,100,2,0.3968,279.99494936611666,3
500,100,2,0.6064,343.0660171779821,4
500,100,2,0.4544,275.82337649086287,2
500,100,2,0.416,319.515764646288,1
500,100,2,0.3484,330.51576464628795,2
500,100,2,0.5728,342.54520189781084,3
500,100,2,0.6088,340.6873375215418,5
500,100,2,0.6656,330.51576464628795,6
500,100,2,0.5224,340.5512985522207,4
500,100,2,0.3612,283.34419177103416,0
500,100,2,0.67,346.8589103967956,4
500,100,2,0.6352,289.23149339882605,3
500,100,2,0.5124,380.31475451951127,1
500,100,2,0.5096,294.64570696119915,2
500,100,2,0.6076,350.6579002700189,5
500,100,2,0.5788,351.4446968344225,3
500,100,2,0.4276,297.81727983645294,2
500,100,2,0.5508,288.89444430272835,4
500,100,2,0.6472,359.5512985522207,7
500,100,2,0.4376,302.3025612106915,1
500,100,2,0.5304,319.51576464628795,4
500,100,2,0.5524,349.27922061357856,5
500,100,2,0.6968,327.82337649086287,7
500,100,2,0.4344,199.91778489984128,2
500,100,2,0.6352,334.9005409571382,4
500,100,2,0.5908,368.6934341759516,6
500,100,2,0.4092,294.71677477306457,2
500,100,2,0.3052,240.5035713374682,0
500,100,2,0.6212,277.3319984622144,3
500,100,2,0.6744,329.2081528017131,5
500,100,2,0.49,364.90054095713816,4
500,100,2,0.2428,249.36143571373725,0
500,100,2,0.6864,346.68733752154174,4
500,100,2,0.412,263.9177848998413,2
500,100,2,0.7216,297.0304832720494,7
500,100,2,0.3484,279.3025612106915,2
