Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.92,20.531985306165296,1
50,100,0.95,15,0.84,21.317383469562746,2
50,100,0.95,15,0.96,18.635866408228253,1
50,100,0.95,15,0.96,18.635866408228253,1
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.92,19.421264571625706,2
50,100,0.95,15,0.88,18.865904204355907,3
50,100,0.95,15,0.96,20.531985306165296,1
50,100,0.95,15,0.92,21.317383469562746,2
50,100,0.95,15,0.96,20.531985306165296,1
50,100,0.95,15,0.84,23.99890053089723,3
50,100,0.95,15,0.8,19.09594200048356,4
50,100,0.95,15,0.84,19.65130236775336,4
50,100,0.95,15,0.92,18.08050604095846,2
50,100,0.95,15,0.88,19.976624938895498,2
50,100,0.95,15,0.8,22.88817979635764,4
50,100,0.95,15,0.92,19.421264571625706,2
50,100,0.95,15,0.96,20.531985306165296,1
50,100,0.95,15,0.92,19.421264571625706,2
50,100,0.95,15,0.84,23.99890053089723,3
50,100,0.95,15,0.92,21.317383469562746,2
50,100,0.95,15,0.88,20.762023102292943,3
50,100,0.95,15,0.84,22.10278163296019,3
50,100,0.95,15,0.96,18.635866408228253,1
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.92,18.635866408228253,1
50,100,0.95,15,0.8,19.976624938895498,2
50,100,0.95,15,0.88,21.5474212656904,3
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.88,21.5474212656904,3
50,100,0.95,15,0.84,20.762023102292947,2
50,100,0.95,15,0.84,25.89501942883427,3
50,100,0.95,15,0.8,23.44354016362744,3
50,100,0.95,15,0.8,23.11821759248529,5
50,100,0.95,15,0.96,18.635866408228253,1
50,100,0.95,15,0.84,24.78429869429468,3
50,100,0.95,15,0.8,19.65130236775336,3
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.88,17.525145673688662,3
50,100,0.95,15,0.92,20.762023102292947,2
50,100,0.95,15,0.92,18.865904204355907,2
50,100,0.95,15,0.84,21.317383469562746,3
50,100,0.95,15,0.84,24.554260898167023,2
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.92,18.08050604095846,2
50,100,0.95,15,0.76,25.56969685769213,4
50,100,0.95,15,0.84,18.865904204355907,3
50,100,0.95,15,0.84,23.213502367499785,2
50,100,0.95,15,0.92,21.317383469562746,2
50,100,0.95,15,0.76,22.56285722521549,5
50,100,0.95,15,0.88,20.762023102292943,3
50,100,0.95,15,0.88,20.762023102292943,3
50,100,0.95,15,0.92,21.317383469562746,2
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.92,19.421264571625706,2
50,100,0.95,15,0.96,20.531985306165296,1
50,100,0.95,15,0.88,20.762023102292947,3
50,100,0.95,15,0.96,20.531985306165296,1
50,100,0.95,15,0.84,20.20666273502315,3
50,100,0.95,15,0.92,20.531985306165296,1
50,100,0.95,15,0.88,21.5474212656904,3
50,100,0.95,15,0.92,19.421264571625706,2
50,100,0.95,15,0.72,24.228938327024885,5
50,100,0.95,15,0.92,18.08050604095846,2
50,100,0.95,15,0.84,18.865904204355907,3
50,100,0.95,15,0.88,18.865904204355907,3
50,100,0.95,15,1.0,17.850468244830807,0
50,100,0.95,15,0.96,20.531985306165296,1
50,100,0.95,15,0.84,18.310543837086115,4
50,100,0.95,15,0.92,20.762023102292943,2
50,100,0.95,15,0.84,20.20666273502315,4
50,100,0.95,15,0.8,23.99890053089723,3
50,100,0.95,15,0.88,19.421264571625706,2
50,100,0.95,15,0.88,18.635866408228253,1
50,100,0.95,15,0.84,22.88817979635764,4
50,100,0.95,15,0.84,23.99890053089723,3
50,100,0.95,15,0.92,22.428104204102333,1
50,100,0.95,15,0.96,18.635866408228253,1
50,100,0.95,15,0.88,20.762023102292947,3
50,100,0.95,15,0.92,20.531985306165296,1
50,100,0.95,15,0.88,24.55426089816703,2
50,100,0.95,15,0.92,19.421264571625706,2
50,100,0.95,15,0.84,24.228938327024885,4
