Packing fraction,Avg_diameter_mean,Avg_diameter_variance,Porosity_mean,Porosity_variance,Surface_mean,Surface_variance,Euler_total_mean,Euler_total_variance,Euler_mean_vol_mean,Euler_mean_vol_variance,Euler_mean_shape_mean,Euler_mean_shape_variance,Permeability_mean,Permeability_variance,Energy_mean,Energy_variance,Samples,Mean_error,Variance_error
0.070,0.007242750193456125,0.0025487640504310966,0.9714911510655491,0.00038900992502877754,23.00616416079623,0.01299034725911911,1166.2903555529067,0.013732720439383943,1166.2903555529067,0.013732720439383943,1.0,0.0,9.364358551958049e-05,0.020518861904945396,9.246602412136328e-05,0.020630934219914895,5,0.4472135954999579,0.35355339059327373
0.120,0.007239039869633128,0.0019812648855542354,0.9525015131947887,0.0003059522646172625,38.328718817438634,0.006107473664340747,1944.5638268845623,0.006100002072374442,1944.5638268845623,0.006100002072374442,1.0,0.0,4.258899622029781e-05,0.009893310968643881,4.187985263392359e-05,0.009987231190630677,5,0.4472135954999579,0.35355339059327373
0.170,0.007241110827138932,0.002058379420460257,0.9341331899158946,0.0005432912344169044,53.150586557833805,0.007750699355422437,2697.326415046242,0.007391844088577373,2697.326415046242,0.007391844088577373,1.0,0.0,2.4728335652865624e-05,0.009620097805083772,2.4222062391257985e-05,0.009722218864732174,5,0.4472135954999579,0.35355339059327373
0.220,0.0072417472117581195,0.0022151103794166285,0.9167602308816577,0.00040247395894973785,67.14612992220542,0.004345251191503189,3411.564516800875,0.004562148888008852,3411.564516800875,0.004562148888008852,1.0,0.0,1.6479083972373125e-05,0.007094311678797828,1.608377392324169e-05,0.007154923644910509,5,0.4472135954999579,0.35355339059327373
0.270,0.007242355469345431,0.0018996069702499783,0.8999081928107084,0.0007224003846480393,80.72553296078313,0.006429674997836507,4105.915981024991,0.006391680851519376,4105.915981024991,0.006391680851519376,1.0,0.0,1.1770452458445462e-05,0.0061835465748346675,1.1448173664294562e-05,0.0062674078456852215,5,0.4472135954999579,0.35355339059327373
0.320,0.00729707990036269,0.001265431364204644,0.8852159067051898,0.0009059526105877028,92.65255217223998,0.006881179445880723,4743.094099865241,0.006683789723031209,4743.094099865241,0.006683789723031209,1.0,0.0,8.935583052021665e-06,0.015906792981209675,8.666943498914916e-06,0.016062209993035866,5,0.4472135954999579,0.35355339059327373
0.370,0.007366542293403573,0.001001627671501487,0.8597872299238383,0.0006991082908613958,113.24135340362892,0.004336252309329191,5800.939055109186,0.0045856499863318615,5800.939055109186,0.0045856499863318615,1.0,0.0,6.030382015858301e-06,0.009898284122006617,5.8230294476387905e-06,0.009965530219056933,5,0.4472135954999579,0.35355339059327373
0.420,0.0073877342993483395,0.00054168037824854,0.8338857140010901,0.0007629648483743002,134.19176538909988,0.003835301554283977,6883.739381806223,0.004196165174188448,6883.739381806223,0.004196165174188448,1.0,0.0,4.298278671984307e-06,0.011608700076275392,4.134579416663644e-06,0.011793415664883504,5,0.4472135954999579,0.35355339059327373
0.470,0.007246018726388239,0.0008896312129895224,0.8197327938979649,0.00044138898900804226,145.6494071330841,0.0020184342280278075,7481.584238193704,0.002052694598073842,7481.584238193704,0.002052694598073842,1.0,0.0,3.6249392085120028e-06,0.006368378991625088,3.4749206666195514e-06,0.006497519276219767,5,0.4472135954999579,0.35355339059327373
0.520,0.007003470723074513,0.0009537668767918302,0.8135633088146821,0.0009776602002344085,150.63127389260956,0.004267675639469829,7746.12464937423,0.004411162538587787,7746.12464937423,0.004411162538587787,1.0,0.0,3.3826535900438583e-06,0.012285508067326647,3.2328980071421474e-06,0.012452404429434625,5,0.4472135954999579,0.35355339059327373
0.570,0.006789217765770446,0.0003204826076738709,0.8120989358968413,0.0009981905216116219,151.8272919483402,0.004302717056457135,7812.534083186698,0.00410520685782513,7812.534083186698,0.00410520685782513,1.0,0.0,3.3521842705867374e-06,0.012269505902532145,3.199651175632422e-06,0.012331777152517782,5,0.4472135954999579,0.35355339059327373
0.620,0.006683148938464232,0.001685289293762948,0.8145876965769147,0.001201989149768225,149.81462186946985,0.005258944125380925,7714.8804440452495,0.005567138811472906,7714.8804440452495,0.005567138811472906,1.0,0.0,3.5495917871432386e-06,0.014570928522885043,3.3889053863170043e-06,0.0149480875521993,5,0.4472135954999579,0.35355339059327373
