Packing fraction,Avg_diameter_mean,Avg_diameter_variance,Porosity_mean,Porosity_variance,Surface_mean,Surface_variance,Euler_total_mean,Euler_total_variance,Euler_mean_vol_mean,Euler_mean_vol_variance,Euler_mean_shape_mean,Euler_mean_shape_variance,Permeability_mean,Permeability_variance,Energy_mean,Energy_variance,Samples,Mean_error,Variance_error
0.070,0.006418720235768986,0.002548764050431122,0.9573090741036878,0.0003677934303011386,30.998622440132024,0.00865214947902343,1166.2903555529067,0.013732720439383943,1166.2903555529067,0.013732720439383943,1.0,0.0,6.681644427624365e-05,0.01442636390027239,6.61324686265053e-05,0.01451848103987626,5,0.4472135954999579,0.35355339059327373
0.120,0.0064154320468949025,0.0019812648855543785,0.9289232008980933,0.0006115057326285941,51.672111133433454,0.006416999142316459,1944.5638268845623,0.006100002072374442,1944.5638268845623,0.006100002072374442,1.0,0.0,3.0154962756883222e-05,0.01198695404517453,2.9746933063111417e-05,0.012071064041939066,5,0.4472135954999579,0.35355339059327373
0.170,0.006417267385198015,0.002058379420460093,0.9012993465579812,0.0007456064315769122,71.72531743531015,0.004384807680743107,2697.326415046242,0.007391844088577373,2697.326415046242,0.007391844088577373,1.0,0.0,1.7591595190317264e-05,0.009145151542916735,1.7303618482763654e-05,0.00922379625717742,5,0.4472135954999579,0.35355339059327373
0.220,0.006417831366382482,0.0022151103794167465,0.8752932094110027,0.0006879515668097062,90.60464835412033,0.0033075448296591057,3411.564516800875,0.004562148888008852,3411.564516800875,0.004562148888008852,1.0,0.0,1.1876141349845119e-05,0.009347657466404764,1.1653810782089502e-05,0.009425861160942638,5,0.4472135954999579,0.35355339059327373
0.270,0.00641837042063397,0.0018996069702501173,0.849985789053197,0.001124153697456283,108.96972775788865,0.005435822799342383,4105.915981024991,0.006391680851519376,4105.915981024991,0.006391680851519376,1.0,0.0,8.598621326810537e-06,0.0120524454443783,8.420516162094124e-06,0.012218324401055738,5,0.4472135954999579,0.35355339059327373
0.320,0.00646686868488154,0.0012654313642047317,0.8295646704260995,0.0015350497131826344,121.34113383351513,0.006119406348982522,4743.094099865241,0.006683789723031209,4743.094099865241,0.006683789723031209,1.0,0.0,7.172063333570315e-06,0.009201335619353346,7.022821587628961e-06,0.009214739712118725,5,0.4472135954999579,0.35355339059327373
0.370,0.0065284281279007535,0.001001627671501409,0.7915436050887112,0.0008499342458440713,145.56267887000814,0.0013084482249608677,5800.939055109186,0.0045856499863318615,5800.939055109186,0.0045856499863318615,1.0,0.0,5.280721114788313e-06,0.002757415757525612,5.164809393180868e-06,0.002877087147748938,5,0.4472135954999579,0.35355339059327373
0.420,0.0065472090541733715,0.0005416803782484843,0.7537254597190745,0.000736040668015525,170.753797619335,0.0013946332943038753,6883.739381806223,0.004196165174188448,6883.739381806223,0.004196165174188448,1.0,0.0,3.998379730429516e-06,0.0027888151571822247,3.908610824235376e-06,0.002780010799032078,5,0.4472135954999579,0.35355339059327373
0.470,0.00642161689766016,0.0008896312129894053,0.7350787082480856,0.0005759174971039395,190.17802021336925,0.0011301463502094203,7481.584238193704,0.002052694598073842,7481.584238193704,0.002052694598073842,1.0,0.0,3.281566245653345e-06,0.0027420473567036302,3.2061011740908937e-06,0.002774411013255975,5,0.4472135954999579,0.35355339059327373
0.520,0.006206664326408725,0.0009537668767918576,0.7266707961115566,0.0010335663212747317,208.44543146910758,0.0010597486382048214,7746.12464937423,0.004411162538587787,7746.12464937423,0.004411162538587787,1.0,0.0,2.7253625340970162e-06,0.003597377867326747,2.6588395990211716e-06,0.0036720911305641816,5,0.4472135954999579,0.35355339059327373
0.570,0.006016787586787982,0.00032048260767381505,0.7174122532444795,0.00043992862032732723,228.81612525386467,0.000846393321048372,7812.534083186698,0.00410520685782513,7812.534083186698,0.00410520685782513,1.0,0.0,2.249904575014576e-06,0.002502004514148156,2.1909951351664133e-06,0.0025792156698166463,5,0.4472135954999579,0.35355339059327373
0.620,0.005922786536078022,0.0016852892937628445,0.7019512495946691,0.0013831001427494387,250.90663071281563,0.0011395870647564342,7714.8804440452495,0.005567138811472906,7714.8804440452495,0.005567138811472906,1.0,0.0,1.8431692251250954e-06,0.004905813516200833,1.7913187489655686e-06,0.004986373499925205,5,0.4472135954999579,0.35355339059327373
