Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.0055993036019344675,0.9538483150814999,55.744012907783,3130,3130.0,1,2.4188723241238436e-05,2.359521483868952e-05
2,0.005602571631317639,0.9536609572839699,55.985453604857994,3145,3145.0,1,2.3541639787007532e-05,2.2960203576715148e-05
3,0.00559431996276335,0.9539049739416801,55.687727457506,3125,3125.0,1,2.4043126147003603e-05,2.3457460977297552e-05
4,0.005594505906712839,0.95338733316206,56.323818975148,3162,3162.0,1,2.3467000684554864e-05,2.2885044551554e-05
5,0.005586392176900419,0.9536721385424499,55.975597541968,3143,3143.0,1,2.3723293170250195e-05,2.313701140782235e-05
6,0.005598461933943236,0.9537700621854399,55.845555863163995,3136,3136.0,1,2.330525727864928e-05,2.2723520059252135e-05
7,0.005589626216636102,0.95375082892859,55.888659298085,3134,3134.0,1,2.394888400019015e-05,2.336405053690331e-05
8,0.005594712115351506,0.9528735371808399,56.925432738893,3197,3197.0,1,2.3060628322854472e-05,2.2486026899326758e-05
9,0.0055785849862107495,0.9535519365099001,56.124423698023996,3153,3153.0,1,2.3046485751683898e-05,2.2472355050029854e-05
10,0.005619345051531426,0.9528780727796898,56.923228367139,3199,3199.0,1,2.323369048210182e-05,2.266100440242206e-05
11,0.005596581017828819,0.9540787379930301,55.472285453088,3117,3117.0,1,2.423380612800524e-05,2.3638124861940645e-05
12,0.005583295274441159,0.95337738523597,56.33597626360601,3162,3162.0,1,2.357731099299514e-05,2.300329943398952e-05
13,0.005607423282225445,0.95399373042594,55.562637492758,3123,3123.0,1,2.427671196145553e-05,2.3693707312487163e-05
14,0.005592024385364975,0.95391878196239,55.677917511329,3125,3125.0,1,2.4325940750946343e-05,2.3739452369873603e-05
15,0.0055917912383314575,0.9540009143352499,55.595441436104004,3120,3120.0,1,2.416655567199191e-05,2.357913881996668e-05
16,0.005602105546533799,0.9546773128329301,54.77247951675,3072,3072.0,1,2.4847053718515667e-05,2.424542674164048e-05
